Public Food Key,Classification,Food Name,Price ($/100g), Price / item ,Weight / item (g),"Energy with dietary fibre, equated (kJ)","Energy, without dietary fibre, equated (kJ)",Moisture (water) (g),Protein (g),"Fat, total (g)",Total dietary fibre (g),Alcohol (g),Total sugars (g),Added sugars (g),"Available carbohydrate, with sugar alcohols (g)",Aluminium (Al) (ug),Antimony (Sb) (ug),Arsenic (As) (ug),Cadmium (Cd) (ug),Calcium (Ca) (mg),Chromium (Cr) (ug),Chloride (Cl) (mg),Cobalt (Co) (ug),Copper (Cu) (mg),Fluoride (F) (ug),Iodine (I) (ug),Iron (Fe) (mg),Lead (Pb) (ug),Magnesium (Mg) (mg),Manganese (Mn) (mg),Mercury (Hg) (ug),Molybdenum (Mo) (ug),Nickel (Ni) (ug),Phosphorus (P) (mg),Potassium (K) (mg),Selenium (Se) (ug),Sodium (Na) (mg),Sulphur (S) (mg),Tin (Sn) (ug),Zinc (Zn) (mg),Vitamin A retinol equivalents (ug),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin derived equivalents (mg),Pantothenic acid (B5) (mg),Pyridoxine (B6) (mg),Biotin (B7) (ug),Cobalamin (B12) (ug),Dietary folate equivalents (ug),Vitamin C (mg),Vitamin D3 equivalents (ug),Alpha tocopherol (mg),Alpha tocotrienol (mg),Beta tocopherol (mg),Beta tocotrienol (mg),Delta tocopherol (mg),Delta tocotrienol (mg),Gamma tocopherol (mg),Gamma tocotrienol (mg),Vitamin E (mg),"Total saturated fatty acids, equated (%T)","Total polyunsaturated fatty acids, equated (%T)","Total long chain omega 3 fatty acids, equated (%T)",Total undifferentiated fatty acids (%T),"Total trans fatty acids, imputed (%T)","Total saturated fatty acids, equated (g)","Total monounsaturated fatty acids, equated (g)","Total polyunsaturated fatty acids, equated (g)","Total long chain omega 3 fatty acids, equated (mg)","Total undifferentiated fatty acids, mass basis basis (mg)","Total trans fatty acids, imputed (mg)",Caffeine (mg),Cholesterol (mg)
F004663,11301,"Juice, apple, commercial, added vitamin C",0.11,2.15,2000,121,120,89,0.2,0,0.2,0,7,0,7,,,,,6,0.5,,,0.02,,4,0.05,,6,0,,0.5,,7,120,0.5,6,,,0.02,0,0,0.07,0.25,0,0,,0,32,33,0,0,,0,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F004656,11301,"Juice, apple & blackcurrant, commercial",0.11,2.15,2000,162,162,89.2,0.2,0,0,0,9.3,0,9.3,0,,,0,5,0,,,0.01,,0,0,,4,0.03,,0,,5,94,0,6,3,,0.01,0,0,0,0,0,0,,0,0,27,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F004726,11301,"Juice, lemon",0.33,1.65,500,115,95,89,0.6,0.2,2.5,0,1.8,0,1.8,,,,,20,,,,,,0,0.3,,9,,,,,16,120,0.4,2,,,0.1,2,0.04,0.02,0.24,,0.08,,0,8,46,0,0.1,,,,,,,,0.14,,,,,,0,0,0,0,,0,0,0
F004729,11301,"Juice, lime",0.4,1,250,122,89,87.6,0.8,0.2,4.1,0,1.2,0,1.2,,,,,22,,,,,,0,0.3,,11,,,,,18,150,0.4,3,,,0.1,5,0.03,0.02,0.26,,0.04,,0,6,45,0,0.2,,,,,,,,0.21,,,,,,0,0,0,0,,0,0,0
F004739,11301,"Juice, orange, commercial",0.11,2.15,2000,112,109,89.1,0.8,0,0.3,0,5.4,0,5.4,,0,0,0,7,0.4,8,,0.03,28,0,0.04,0,7,0.01,0,0,1,14,145,0.2,2,6,0,0.03,2,0.11,0,0.03,0.3,0,0.9,0,51,69,0,0.1,,0,,,,,,0.1,0,0,0,,0,0,0,0,0,,0,0,0
F004731,11301,"Juice, orange & mango, commercial",0.11,2.15,2000,146,144,90.3,0.6,0,0.2,0,7.7,0,7.7,0,,,0,9,0,9,,0.03,51,0,0,,9,0.03,,0,,16,160,0,4,5,,0.04,8,0.04,0,0.03,0.05,0,1.1,0,26,82,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F004099,11307,"Fruit drink, apple juice",0.2,2,1000,137,136,91.1,0.1,0,0,0,7.8,6,8.2,0,,0,,2,,11,,0,70,3,0,0,2,0.01,,0,,2,47,0,5,2,,0,0,0,0,0,0,0,,0,0,31,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F004102,11307,"Fruit drink, cranberry",0.39,3.87,1000,182,181,87.1,0,0,0.1,0,11.3,8.4,11.3,,,,,8,,,,,,4,0.25,,6,,,,,13,20,0.1,16,,,0.1,4,0.01,0.02,0.09,,0.05,,0,1,16,0,1.2,,,,,,,,1.2,0,0,0,,0,0,0,0,0,,0,0,0
F003158,11401,"Cordial, 25% citrus fruit juice, regular, recommended dilution",0.2,2,1000,142,142,90.8,0,0,0,0,8.7,8.4,8.7,,,,,2,,6,,0.03,74.82,0.8,0,,1,0.24,,,,1,4,0,5,3,,0,0,0,0,0.4,,0,,0,2,1,0,0,,0,,,,,,0,,,,,,0,0,0,0,,0,0,0
F003160,11401,"Cordial, 40% citrus fruit juice, regular, recommended dilution",0.2,2,1000,154,154,90.2,0,0,0,0,9.4,8.9,9.4,,,,,2,,7,,0.03,72.01,0.8,0.03,,1,0.24,,,,1,8,0,12,4,,0,0,0,0,0.4,,0,,0,2,2,0,0,,0,,,,,,0,,,,,,0,0,0,0,,0,0,0
F003156,11401,"Cordial, blackcurrant juice, regular, recommended dilution",0.4,4,1000,151,151,90.5,0,0,0,0,9.3,8.9,9.3,,,,,2,,6,,0.03,71.72,0.8,0.07,,1,0.25,,,,1,11,0,2,4,,0.02,0,0,0,0.03,,0.01,,0,0,15,0,0,,0,,0,,0,,0,,,,,,0,0,0,0,,0,0,0
F003130,11403,"Cordial base, 25% citrus fruit juice, regular",0.2,2,1000,606,606,60.6,0,0,0,0,37.3,36,37.3,,,,,3,,7,,0,57,1,0,,1,0,,,,3,15,0,12,4,,0,1,0,0,1.7,,0.02,,0,10,4,0,0,,0,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F003135,11403,"Cordial base, 40% citrus fruit juice, regular",0.4,4,1000,659,659,57.9,0.2,0,0,0,40.2,38.2,40.2,,,,,4,,10,,0,45,1,0.1,,2,0,,,,5,32,0,43,7,,0,2,0,0,1.7,0.04,0.02,0.4,0,10,8,0,0,,0,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F003128,11403,"Cordial base, blackcurrant juice, regular",0.65,6.5,1000,731,731,54,0.1,0,0,0,45,42.9,45,,,,,6,,6,,0.01,39,1,0.33,,3,0.01,,,,5,54,0,0,10,,0.06,0,0,0,0.16,0.06,0.04,1.4,0,1,74,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F008438,11501,"Soft drink, fruit flavours",0.2,2.45,1250,142,142,91,0,0,0,0,8.8,8.3,8.8,,,,,2,0,,,,,1.7,0,,0,,,0,0,0,1,0,14,,,0,0,0,0,0,,0,,0,0,0,0,0,,,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F008460,11501,"Soft drink, tonic water",0.08,1,1250,142,142,91.1,0,0,0,0,8.8,8.8,8.8,,,,,1,,,,,,0.7,0.01,,0,,,,,0,0,0,12,,,0.1,0,0,0,0,,0,,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F008461,11502,"Soft drink, tonic water, intense sweetened or diet",0.08,1,1250,1,1,99.9,0,0,0,0,0,0,0,,,,,1,,,,,,0.7,0.01,,0,,,,,0,0,0,12,,,0.1,0,0,0,0,,0,,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F008402,11503,"Soft drink, cola flavour",0.18,3.65,2000,206,206,89.4,0,0.2,0,0,12.3,12.3,12.3,0,,0,0,1,0,13,,0,58,0.8,0,0,0,0,,0,0,10,0,0,2,8,,0,0,0,0,0,,0,,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,10,0
F008403,11503,"Soft drink, cola flavour, decaffeinated",0.18,3.65,2000,206,206,89.4,0,0.2,0,0,12.3,12.3,12.3,0,,0,0,1,0,13,,0,58,0.8,0,0,0,0,,0,0,10,0,0,2,8,,0,0,0,0,0,,0,,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F008404,11504,"Soft drink, cola flavour, intense sweetened or diet",0.18,3.65,2000,0,0,99.9,0,0,0,0,0,0,0,0,,0,0,1,0,,,0,,0.8,0,0,0,0,,0,0,10,0,0,3,,,0,0,0.01,0.02,0,,0,,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,11,0
F008405,11504,"Soft drink, cola flavour, intense sweetened or diet, decaffeinated",0.18,3.65,2000,0,0,99.9,0,0,0,0,0,0,0,0,,0,0,1,0,,,0,,0.8,0,0,0,0,,0,0,10,0,0,3,,,0,0,0.01,0.02,0,,0,,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F005694,11505,"Mineral water, citrus flavoured",0.12,1.19,1000,152,152,90.3,0,0,0,0,9.3,9.1,9.3,,,,,5,,19,,0,30,0,0.06,,4,0,,,,1,5,0,15,2,,0,0,0,0,0,,0,,0,1,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F008421,11603,"Soft drink, energy drink, Red Bull",2.4,24,1000,182,182,88.3,0.1,0,0,0,10.8,10.8,10.8,20,,0,0,9,0,,,0,,0,0,0,0,0,0,0,,10,0,0,71,,,0,0,0,0.06,8.08,1.91,2.27,,2,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,32,0
F008424,11603,"Soft drink, energy drink, V",1.45,14.5,1000,182,182,88.3,0.1,0,0,0,10.8,10.8,10.8,20,,0,0,9,0,,,0,,0,0,0,0,0,0,0,,10,0,0,110,,,0,0,0,0.82,7.6,3.2,2.5,,0.6,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,31,0
F009527,11701,"Water, tap",0,1.91,1000000,0,0,100,0,0,0,0,0,0,0,9.1,,0.2,0,2,0,6,0,0.04,80.25,0.7,0,0.6,1,0.31,0,0,0,0,0,0,3,3,,0,0,0,0,0,,0,,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F005696,11702,"Mineral water, natural, unflavoured",0.08,1,1250,0,0,100,0,0,0,0,0,0,0,,,,,6,,11,,0,24,0.2,0,,4,0,,,,0,1,0,8,1,,0,0,0,0,0,,0,,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F009516,11702,"Water, bottled, still",0.06,0.9,1500,0,0,100,0,0,0,0,0,0,0,,,,,1,,2,,,,0.2,0,,5,0,,,,0,0,0,1,,,0,0,0,0,0,,0,,0,0,0,0,0,,,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F008377,11702,"Water, soda",0.08,1,1250,0,0,100,0,0,0,0,0,0,0,9.1,,0.2,0,2,0,6,0,0.04,80.25,0.7,0,0.6,1,0.31,0,0,0,0,0,0,3,3,,0,0,0,0,0,,0,,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F006156,14401,"Oil, blend of polyunsaturated vegetable oils",0.36,14.5,4000,3700,3700,0,0,100,0,0,0,0,0,,0,0.9,0,0,,4,,0.01,0,0,0.01,0,0,0,0,,,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,14,,,,28,,52,,19.2,14.8,54.95,0,,3.1,14.15,27.1,52.53,0,,2963.6,0,0
F006167,14401,"Oil, grapeseed",1.3,9.75,750,3700,3700,0,0,100,0,0,0,0,0,,,,,0,,,,,,0,0,,0,,,,,0,0,0,0,,,0.01,0,0,0,0,,0,,0,0,0,0,2.3,,,,,,,,2.3,11.9,67,0,,2.2,11.38,19.98,64.05,0,,2151,0,0
F006168,14401,"Oil, linseed or flaxseed",2.93,11,375,3699,3699,0.1,0,100,0,0,0,0,0,,,,,1,,,,,,0,0,,0,,,,,1,0,0,0,,,0.07,0,0,0,0,,0,,0,0,0,0,0.5,,0.6,,1.6,,28.8,,3.62,9.42,72.06,0,,0.1,9,18.5,68.88,0,,94.62,0,0
F006189,14401,"Oil, sunflower",0.6,11.9,2000,3700,3700,0,0,100,0,0,0,0,0,,,,,0,,0,,0,0.01,0,0,,0,0,,,,0,0,0,0,3,,0.01,0,0,0,0,0,0,0,0,0,0,0,56,,,,4.4,,1,,56.1,10.63,59.18,0,,2.2,10.16,27.83,56.58,0,,2151,0,0
F006191,14401,"Oil, vegetable",0.37,7.4,2000,3700,3700,0,0,100,0,0,0,0,0,,,,,0,,,,,,0,0.01,,0,,,,,0,0,0,0,,,0.01,0,0,0,0,,0,,0,0,0,0,14,,,,,,,,16.6,,,,,,10.52,42.49,41.01,0,,2151,0,0
F006155,14402,"Oil, blend of monounsaturated vegetable oils",0.36,14.5,4000,3700,3700,0,0,100,0,0,0,0,0,,,,,0,,,,,,0,0.01,,0,,,,,0,0,0,0,,,0.01,0,0,0,0,,0,,0,0,0,0,14,,,,,,,,14,7.2,30.85,0,,1.4,6.88,57.88,29.49,0,,1338.4,0,0
F006159,14402,"Oil, canola",0.36,14.5,4000,3700,3700,0,0,100,0,0,0,0,0,68,,0,0,1,7.5,4,,0,9,0,0,0,0,0,0,0,5,0,0,0,0,2,,0.04,0,0,0,0,0,0,0,0,0,0,0,17.6,,10.2,,0.4,,34.8,,26.22,7.63,29.81,0,,0,7.3,59.36,28.49,0,,28.68,0,0
F006169,14402,"Oil, macadamia",1.87,7,375,3700,3700,0,0,100,0,0,0,0,0,,,,,0,,,,,,0,0,,0,,,,,0,0,0,0,,,0,0,0,0,0,,0,,0,0,0,0,14,,,,,,,,14,14.2,1.3,0,,2.2,13.58,80.59,1.24,0,,2151,0,0
F006177,14402,"Oil, olive",0.6,3,500,3695,3695,0,0,99.9,0,0,0,0,0,62.5,,0,0,0,9,0,,0,5,0,0,0,0,0,0,0,,1,0,0,0,2,,0.01,2,0,0,0,0,0,0,0,0,0,0,17,,9.2,,0,,0.7,,21.7,16.26,9.55,0,,0,15.52,70.21,9.12,0,,0,0,0
F006183,14402,"Oil, peanut",0.7,5.25,750,3700,3700,0,0,100,0,0,0,0,0,,,,,0,,0,,0.1,0.1,0,0.1,,1,0.01,,,,3,0,0,0,3,,0.1,0,0,0,0,0,0,0,0,0,0,0,12.9,,,,0.6,,9,,13.8,18.16,28.64,0,,2.2,17.36,50.28,27.38,0,,2151,0,0
F006185,14402,"Oil, rice bran",0.4,16,4000,3700,3700,0,0,100,0,0,0,0,0,,,,,0,,,,,,0,0.01,,0,,,,,0,0,0.3,0,,,0.01,0,0,0,0,,0,,0,0,0,0,32.3,,,,,,,,32.3,24,34.3,0,,0.4,22.94,39.67,32.79,0,,382.4,0,0
F006165,14502,"Oil, copha",1.2,3,250,3700,3700,0,0.2,99.9,0,0,0,0,0,,,,,0,,0,,0,0.02,0,0,,0,0,,,,0,1,0,1,0,,0,0,0,0,0.26,0,0,0,0,0,0,0,0,,,,,,,,0,98.2,0.3,0,,0,92.41,1.41,0.28,0,,28.23,0,0
F006595,16104,"Pear, canned in pear juice, juice only",0.36,3.64,1000,185,183,88.2,0.2,0,0.2,0,8.8,0,11,,,,,6,,,,,,0,0.3,,5,,,,,12,95,0,6,,,0.2,3,0,0.01,0.03,,0,,0,44,1,0,0.2,,,,,,,,0.19,0,0,0,,0,0,0,0,0,,0,0,0
F005292,16304,"Mandarin, canned in syrup, syrup only",0.42,4.19,1000,223,223,84.6,0.2,0,0,0,13.2,13.2,13.2,,,,,5,,,,0,,0,0.3,,5,0,,,,6,72,0,4,,,0.1,0,0,0,0,,0,,0,0,12,0,0,,,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F002517,16404,"Cherry, black, canned in syrup, syrup only",0.92,9.16,1000,288,288,79.8,0.5,0,0,0,16,16,17.1,,,,,6,,,,0,,1.1,1.2,,6,0.08,,,,9,120,0,3,,,0,0,0,0,0,,0.05,,0,0,0,0,0,,,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F006710,16505,"Pineapple, canned in pineapple juice, juice only",0.63,6.28,1000,187,187,86.5,0.3,0,0,0,10.6,0,10.6,,,,,6,,,,,,0,0.3,,12,,,,,8,160,0.1,1,,,0.3,0,0.02,0.01,0.15,,0.1,,0,18,9,0,0.2,,,,,,,,0.2,0,0,0,,0,0,0,0,0,,0,0,0
F006713,16505,"Pineapple, canned in syrup, syrup only",0.63,6.28,1000,370,370,75.6,0.3,0,0,0,22,22,22,,,,,5,,,,,,0,0.3,,9,,,,,0,90,0,1,,,0.2,0,0.04,0.02,0.2,,0,,0,0,9,0,0,,,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F004143,16702,"Fruit salad, canned in fruit juice, juice only",0.43,4.3,1000,191,189,86.3,0.4,0,0.2,0,10.2,0,11,,,,,6,,,,,,0,0.3,,8,,,,,12,170,0,4,,,0.25,3,0.01,0.03,0.4,,0,,0,44,4,0,0.2,,,,,,,,0.19,0,0,0,,0,0,0,0,0,,0,0,0
F005634,19101,"Milk, cow, fluid, regular fat (3.5% fat)",0.45,4.5,1000,271,271,88,3.3,3.4,0,0,5.4,0,5.4,0.4,0,0,0,106,0.7,100,,0.01,,22.9,0.02,0,10,0,0,2.9,0,87,142,1.2,35,28,0,0.33,44,0.02,0.18,0.81,0.35,0.02,3.8,0.4,5,0,0.1,0.1,,0,,0,,0,,0.09,71.24,2.5,0.03,,3.1,2.31,0.77,0.08,1.04,,100.55,0,10
F005599,19101,"Milk, cow, fluid, lactose free, regular fat (3.5% fat)",0.45,4.5,1000,249,248,88.8,3.1,3.2,0,0,4.5,0,4.7,0,0,0,0,110,0,100,,0,,28,0,0,10,0,0,3,0,83,150,2.1,35,28,0,0.38,52,0.05,0.15,0.6,0.28,0.02,3.8,0.4,0,0,0.1,0,,0,,0,,0,,0,71.3,2.5,0,,0.2,2.16,0.68,0.08,0,,6.05,0,11
F005635,19102,"Milk, cow, fluid, regular fat (3.5% fat), added omega 3 polyunsaturates",0.45,4.5,1000,253,253,89.2,3.1,3.2,0,0,5.1,0,5.1,56,,0.5,0.5,110,1.1,,,0.05,,24,0.44,0.5,10,0.06,0.5,4,,88,200,0.5,40,,,0.12,49,0.04,0.22,0.65,0.8,0.07,,0.6,14,0,0.1,0.1,,0,,0,,0,,0.09,68.9,4.05,0.4,,2,2.08,0.81,0.12,12.1,,61.39,0,5
F005614,19103,"Milk, cow, fluid, reduced fat (1% fat)",0.45,4.5,1000,181,181,89.7,3.3,1.2,0,0,4.8,0,4.8,0,,0,0,115,0.1,,,0.01,,25.6,0.01,0,11,0,,2.7,0,92,156,0.7,36,31,,0.37,14,0.02,0.17,1.81,0.4,0.01,,0.2,5,0,0.1,0,,0,,0,,0,,0.02,74.15,2.36,0,,2.3,0.85,0.24,0.03,0,,26.08,0,5
F005598,19103,"Milk, cow, fluid, lactose free, reduced fat (1% fat)",0.45,4.5,1000,184,183,89.8,3.4,1.2,0.1,0,4.8,0,5,0,,0,0,117,0,,,0,,28,0,0,10,0,,3,,83,150,2.1,41,,,0.38,21,0.05,0.15,0.66,0.28,0.02,,0.4,0,0,0.1,0,,0,,0,,0,,0,71.3,2.5,0,,0.2,0.81,0.26,0.03,0,,2.27,0,5
F005621,19104,"Milk, cow, fluid, reduced fat (1.5% fat), added omega 3 polyunsaturates",0.45,4.5,1000,213,213,88.4,4.5,1.4,0,0,5.1,0,5.1,56,,0.5,0.5,110,1.1,,,0.05,,24,0.44,0.5,11,0.06,0.5,4,,94,200,0.5,40,,,0.12,11,0.04,0.22,1.02,0.8,0.04,,0.6,26,0,0.1,0,,0,,0,,0,,0.05,36.05,8.38,1.88,,1.1,0.48,0.73,0.11,24.81,,14.55,0,5
F005637,19105,"Milk, cow, fluid, skim (0.15% fat)",0.45,4.5,1000,146,146,89.4,3.6,0,0,0,5.3,0,5.3,0,,0,0,115,0.2,,,0,,18,0,0,11,0,,3,0,96,160,1.4,38,,,0.4,0,0.02,0.17,0.89,0.3,0.02,,0.8,9,0,0.1,0,,0,,0,,0,,0,67.87,3.73,0.17,0,2,0,0,0,0,0,0,0,3
F005638,19105,"Milk, cow, fluid, skim (0.15% fat), added milk solids",0.45,4.5,1000,173,173,87.6,4.2,0,0,0,6.3,0,6.3,,,,,135,,,,,,21.6,0,,13,,,,,114,193,1.6,46,,,0.46,0,0.02,0.2,1.02,,0.02,,0.8,9,0,0.11,0,,0,,0,,0,,0,,,,,,0.01,0,0,0.05,,0.3,0,3
F005581,19106,"Milk, cow, canned, evaporated, regular",0.96,3.8,395,588,588,72,7.5,8.2,0,0,10,0,10,,,,,256,,,,0.01,,53,0.15,,24,0.01,,,,248,340,6,104,,,0.8,82,0.07,0.51,1.75,1,0,,0.2,0,1,0.06,0,,0,,,,,,0,67.87,3.73,0.17,0,2,5.23,2.04,0.29,12.84,0,151.72,0,24
F005580,19106,"Milk, cow, canned, evaporated, reduced fat (approximately 2% fat)",0.96,3.8,395,380,380,77.9,7.8,2.1,0,0,10.6,0,10.6,,,,,266,,,,0.01,,53,0.3,,25,0.01,,,,244,348,6,104,,,0.9,17,0.08,0.56,1.76,1,0,,0.2,0,0,0.06,0,,0,,,,,,0,67.87,3.73,0.17,0,2,1.35,0.52,0.07,3.31,0,39.09,0,10
F005582,19106,"Milk, cow, canned, sweetened, condensed, regular",0.96,3.8,395,1362,1362,25.7,8.3,9.2,0,0,55,45.8,55,,,,,268,,,,0.01,,36,0.15,,25,0.01,,,,255,357,8,106,,,0.9,78,0.08,0.61,2.07,2,0,,0.4,0,1,0.06,0.2,,0,,,,,,0.2,69.4,2.5,0.08,,3.5,6.03,2.18,0.22,6.52,,304.29,0,31
